threads	threads_per_cpu_core	cpu_cores	repetition	init_seconds	query_seconds	queries_per_second	queries_per_second_per_cpu_core	total_queries	max_resident_megabytes	user_seconds	system_seconds	elapsed_seconds
4	one	4	6	1.39	679.60	105944.83	26486.21	72000000	54607.31	2632.06	9.93	681.56
4	one	4	7	1.40	681.00	105726.25	26431.56	72000000	54607.48	2636.23	9.84	682.97
1	one	1	0	1.39	2608.03	27607.02	27607.02	72000000	54402.62	2600.24	9.71	2610.00
1	one	1	1	1.39	2591.60	27782.02	27782.02	72000000	54402.48	2583.84	9.70	2593.56
1	one	1	2	1.40	2591.57	27782.34	27782.34	72000000	54402.65	2583.85	9.67	2593.54
1	one	1	3	1.39	2597.28	27721.34	27721.34	72000000	54402.58	2589.58	9.62	2599.24
1	one	1	4	1.39	2594.76	27748.21	27748.21	72000000	54402.67	2587.18	9.52	2596.72
1	one	1	5	1.39	2595.63	27738.89	27738.89	72000000	54402.61	2587.85	9.71	2597.59
1	one	1	6	1.39	2595.45	27740.82	27740.82	72000000	54402.47	2587.78	9.61	2597.41
1	one	1	7	1.39	2591.06	27787.86	27787.86	72000000	54402.64	2583.33	9.65	2593.02
